title,page_layout,meta_keywords,meta_description,identifier,content_heading,content,is_active,sort_order,layout_update_xml,custom_theme,custom_root_template,custom_layout_update_xml,custom_theme_from,custom_theme_to
        <h2 id=""privacy-policy-title-3"">Wie wir die erfassten Informationen verwenden</h2>
        <p>Wir verwenden die von uns erfassten Informationen für unterschiedliche Zwecke, darunter:</p>
        <ul>
            <li>Abwicklung Ihrer Kauftransaktionen</li>
            <li>Bereitstellung der von Ihnen angeforderten Services</li>
            <li>Senden unserer Kataloge und anderer Angebote an Sie per E-Mail</li>
            <li>Identifizierung Ihrer Produkt- und Servicepräferenzen, damit wir Sie über neue oder ergänzende Produkte, Services und Promotions, die für Sie von Interesse sein könnten, informieren können.</li>
            <li>Benachrichtigung über Produktrückrufe bzw. Bereitstellung anderer Informationen zu von Ihnen gekauften Produkten</li>
            <li>Verbesserung unseres Warensortiments, Kundenservice sowie der Kauferfahrung als Ganzes</li>
        </ul>",1,,,,,,,

Customer Service - DE,1column,,,customer-service,Kundenservice,"<div class=""customer-service cms-content"">
  <div class=""cms-content-important"">
      <p>Bei uns finden Sie alles, was Sie brauchen. Bei Fragen helfen wir Ihnen gerne weiter.</p>
  </div>

      <p>Wir freuen uns, von Ihnen, unseren Luma-Kunden, zu hören. Bitte nehmen Sie jederzeit mit uns Kontakt auf, was auch immer Ihr Anliegen ist. Sei es Ihr neuestes Interesse, eine einzigartige Erfahrung zum Thema Gesundheit oder eine Anfrage nach einem bestimmten Produkt. </p>

        <p>Wir bemühen uns nach Kräften, Ihnen jedes Mal mit Luma ein unvergessliches Nutzererlebnis zu bieten. </p>

        <p>Sie haben folgende Möglichkeiten, um mit uns in Kontakt zu treten: </p>

        <h2>Telefon</h2>
        <p>Wenden Sie sich an die Luma Helpline bei Bedenken, Produktfragen, Fragen zum Bestellstatus sowie für alle anderen Anfragen:</p>
        <p><b>1-800-403-8838</b></p>

        <h2>Sofort-Hilfe</h2>
        <p>Luma bietet einen Live-Chat an, um Ihnen schnell und unkompliziert weiterhelfen zu können. Gespräch jetzt starten! </p>

        <h2>Anfragen zum Kleidungsdesign:</h2>
        <p>Sind Sie ein unabhängiger Kleidungsdesigner? Präsentieren Sie Ihre Produkte auf der Luma-Website! </p>

        <p>Bitte richten Sie alle Anfragen per E-Mail an: <a href=""mailto:cs@luma.com"">cs@luma.com</a></p>

        <h2>Presseanfragen</h2>
        <p>Bitte richten Sie alle Presseanfragen per E-Mail an: <a href=""mailto:pr@luma.com>pr@luma.com</a></p>
",1,,,,,,,

Home Page - DE,1column,,,home,Startseite,,1,,,,,,,
